Tweet,Clean Tweet,Lower Tweet,Tokenize,Stemming,Stopwords,Filter By Length,Label,Kata,Hitung
@anteraja_id ayang flora cakep betulll😳,ayang flora cakep betulll,ayang flora cakep betulll,"['ayang', 'flora', 'cakep', 'betulll']","ayang,flora,cakep,betulll","ayang,flora,cakep,betulll","ayang,flora,cakep,betulll",netral,"['ayang', 'flora', 'cakep', 'betulll']","{'ayang': 1, 'flora': 1, 'cakep': 1, 'betulll': 1}"
"Reply with a 🔥 and we’ll give you kata-kata penyemangat puasa!

Sebentar lagi berbuka nih 🤭",Reply with and we ll give you katakata penyemangat puasa Sebentar lagi berbuka nih,reply with and we ll give you katakata penyemangat puasa sebentar lagi berbuka nih,"['reply', 'with', 'and', 'we', 'll', 'give', 'you', 'katakata', 'penyemangat', 'puasa', 'sebentar', 'lagi', 'berbuka', 'nih']","reply,with,and,we,ll,give,you,katakata,semangat,puasa,sebentar,lagi,buka,nih","reply,with,and,we,ll,give,you,katakata,semangat,puasa,sebentar,buka,nih","reply,with,give,katakata,semangat,puasa,sebentar,buka",netral,"['reply', 'with', 'give', 'katakata', 'semangat', 'puasa', 'sebentar', 'buka']","{'reply': 1, 'with': 1, 'give': 1, 'katakata': 1, 'semangat': 1, 'puasa': 1, 'sebentar': 1, 'buka': 1}"
@anteraja_id woy paket gw dmn,woy paket gw dmn,woy paket gw dmn,"['woy', 'paket', 'gw', 'dmn']","woy,paket,gw,dmn","woy,paket,gw,dmn",paket,negatif,['paket'],{'paket': 1}
@anteraja_id Oshi gw mna mint?,Oshi gw mna mint,oshi gw mna mint,"['oshi', 'gw', 'mna', 'mint']","oshi,gw,mna,mint","oshi,gw,mna,mint","oshi,mint",negatif,"['oshi', 'mint']","{'oshi': 1, 'mint': 1}"
@anteraja_id Cantik banget,Cantik banget,cantik banget,"['cantik', 'banget']","cantik,banget","cantik,banget","cantik,banget",netral,"['cantik', 'banget']","{'cantik': 1, 'banget': 1}"
@anteraja_id Christy mana bang,Christy mana bang,christy mana bang,"['christy', 'mana', 'bang']","christy,mana,bang","christy,bang","christy,bang",netral,"['christy', 'bang']","{'christy': 1, 'bang': 1}"
@anteraja_id Thanks,Thanks,thanks,['thanks'],thanks,thanks,thanks,netral,['thanks'],{'thanks': 1}
@anteraja_id lah ngepost2 cewe gua lu min,lah ngepost cewe gua lu min,lah ngepost cewe gua lu min,"['lah', 'ngepost', 'cewe', 'gua', 'lu', 'min']","lah,ngepost,cewe,gua,lu,min","ngepost,cewe,gua,lu,min","ngepost,cewe",netral,"['ngepost', 'cewe']","{'ngepost': 1, 'cewe': 1}"
@anteraja_id @piscvely @F_Astri17 Alhamdulillah terimakasih,Alhamdulillah terimakasih,alhamdulillah terimakasih,"['alhamdulillah', 'terimakasih']","alhamdulillah,terimakasih","alhamdulillah,terimakasih","alhamdulillah,terimakasih",netral,"['alhamdulillah', 'terimakasih']","{'alhamdulillah': 1, 'terimakasih': 1}"
@anteraja_id kenapa beberapa kali begini???? Dengan kendala yg sama. Helooo?? @anteraja_id  Adapa yaaa?? Ini baru 3 yg ku post. Kecewa asli https://t.co/j9BDOVrgGs,kenapa beberapa kali begini Dengan kendala yg sama Helooo Adapa yaaa Ini baru yg ku post Kecewa asli,kenapa beberapa kali begini dengan kendala yg sama helooo adapa yaaa ini baru yg ku post kecewa asli,"['kenapa', 'beberapa', 'kali', 'begini', 'dengan', 'kendala', 'yg', 'sama', 'helooo', 'adapa', 'yaaa', 'ini', 'baru', 'yg', 'ku', 'post', 'kecewa', 'asli']","kenapa,beberapa,kali,begini,dengan,kendala,yg,sama,helooo,adapa,yaaa,ini,baru,yg,ku,post,kecewa,asli","kali,kendala,yg,helooo,adapa,yaaa,yg,ku,post,kecewa,asli","kali,kendala,helooo,adapa,yaaa,post,kecewa,asli",negatif,"['kali', 'kendala', 'helooo', 'adapa', 'yaaa', 'post', 'kecewa', 'asli']","{'kali': 1, 'kendala': 1, 'helooo': 1, 'adapa': 1, 'yaaa': 1, 'post': 1, 'kecewa': 1, 'asli': 1}"
"@karimpangestu @ArieztAlwand @Tehidol @vvotanet @f10ves Coba ditanyakan ke seller @anteraja_id yang ada di Sukabumi kak, itu paketnya udah di tangan kurir nya",Coba ditanyakan ke seller yang ada di Sukabumi kak itu paketnya udah di tangan kurir nya,coba ditanyakan ke seller yang ada di sukabumi kak itu paketnya udah di tangan kurir nya,"['coba', 'ditanyakan', 'ke', 'seller', 'yang', 'ada', 'di', 'sukabumi', 'kak', 'itu', 'paketnya', 'udah', 'di', 'tangan', 'kurir', 'nya']","coba,tanya,ke,seller,yang,ada,di,sukabumi,kak,itu,paket,udah,di,tangan,kurir,nya","coba,seller,sukabumi,kak,paket,udah,tangan,kurir,nya","coba,seller,sukabumi,paket,udah,tangan,kurir",netral,"['coba', 'seller', 'sukabumi', 'paket', 'udah', 'tangan', 'kurir']","{'coba': 1, 'seller': 1, 'sukabumi': 1, 'paket': 1, 'udah': 1, 'tangan': 1, 'kurir': 1}"
@anteraja_id Ini dia menu buka puasa hari ini 🥰🥰🥰🥰🥰,Ini dia menu buka puasa hari ini,ini dia menu buka puasa hari ini,"['ini', 'dia', 'menu', 'buka', 'puasa', 'hari', 'ini']","ini,dia,menu,buka,puasa,hari,ini","menu,buka,puasa","menu,buka,puasa",netral,"['menu', 'buka', 'puasa']","{'menu': 1, 'buka': 1, 'puasa': 1}"
"@anteraja_id KYAAAAA FURORA CHWAAANNN 😍
ARIGATOUUU ANTERU-SAN 🙏",KYAAAAA FURORA CHWAAANNN ARIGATOUUU ANTERUSAN,kyaaaaa furora chwaaannn arigatouuu anterusan,"['kyaaaaa', 'furora', 'chwaaannn', 'arigatouuu', 'anterusan']","kyaaaaa,furora,chwaaannn,arigatouuu,anterusan","kyaaaaa,furora,chwaaannn,arigatouuu,anterusan","kyaaaaa,furora,chwaaannn,arigatouuu,anterusan",netral,"['kyaaaaa', 'furora', 'chwaaannn', 'arigatouuu', 'anterusan']","{'kyaaaaa': 1, 'furora': 1, 'chwaaannn': 1, 'arigatouuu': 1, 'anterusan': 1}"
@anteraja_id Neng mplor 😍,Neng mplor,neng mplor,"['neng', 'mplor']","neng,mplor","neng,mplor","neng,mplor",netral,"['neng', 'mplor']","{'neng': 1, 'mplor': 1}"
@anteraja_id Min bgmna ini? Blm ada keterangan berlanjut hari ini https://t.co/C3Pq8SzUhp,Min bgmna ini Blm ada keterangan berlanjut hari ini,min bgmna ini blm ada keterangan berlanjut hari ini,"['min', 'bgmna', 'ini', 'blm', 'ada', 'keterangan', 'berlanjut', 'hari', 'ini']","min,bgmna,ini,blm,ada,terang,lanjut,hari,ini","min,bgmna,blm,terang","bgmna,terang",netral,"['bgmna', 'terang']","{'bgmna': 1, 'terang': 1}"
@anteraja_id Makasih admin 😁,Makasih admin,makasih admin,"['makasih', 'admin']","makasih,admin","makasih,admin","makasih,admin",netral,"['makasih', 'admin']","{'makasih': 1, 'admin': 1}"
@anteraja_id Peghh,Peghh,peghh,['peghh'],peghh,peghh,peghh,netral,['peghh'],{'peghh': 1}
@anteraja_id pengen cubit dhh,pengen cubit dhh,pengen cubit dhh,"['pengen', 'cubit', 'dhh']","ken,cubit,dhh","ken,cubit,dhh",cubit,netral,['cubit'],{'cubit': 1}
@anteraja_id Lucuuuu nyaa,Lucuuuu nyaa,lucuuuu nyaa,"['lucuuuu', 'nyaa']","lucuuuu,nyaa","lucuuuu,nyaa","lucuuuu,nyaa",netral,"['lucuuuu', 'nyaa']","{'lucuuuu': 1, 'nyaa': 1}"
"@anteraja_id min, paket dengan resi 10006929031176 kok stuck di hub jakarta utara udah 2 hari? masa dari jakarta timur ke depok bisa sampe 3 hari lebih pake reguler min🙄",min paket dengan resi kok stuck di hub jakarta utara udah hari masa dari jakarta timur ke depok bisa sampe hari lebih pake reguler min,min paket dengan resi kok stuck di hub jakarta utara udah hari masa dari jakarta timur ke depok bisa sampe hari lebih pake reguler min,"['min', 'paket', 'dengan', 'resi', 'kok', 'stuck', 'di', 'hub', 'jakarta', 'utara', 'udah', 'hari', 'masa', 'dari', 'jakarta', 'timur', 'ke', 'depok', 'bisa', 'sampe', 'hari', 'lebih', 'pake', 'reguler', 'min']","min,paket,dengan,resi,kok,stuck,di,hub,jakarta,utara,udah,hari,masa,dari,jakarta,timur,ke,depok,bisa,sampe,hari,lebih,pake,reguler,min","min,paket,resi,stuck,hub,jakarta,utara,udah,jakarta,timur,depok,sampe,pake,reguler,min","paket,resi,stuck,jakarta,utara,udah,jakarta,timur,depok,sampe,pake,reguler",negatif,"['paket', 'resi', 'stuck', 'jakarta', 'utara', 'udah', 'jakarta', 'timur', 'depok', 'sampe', 'pake', 'reguler']","{'paket': 1, 'resi': 1, 'stuck': 1, 'jakarta': 2, 'utara': 1, 'udah': 1, 'timur': 1, 'depok': 1, 'sampe': 1, 'pake': 1, 'reguler': 1}"
"@anteraja_id mau dong kalo satria nya kek gini, auto nungguin depan pintu..",mau dong kalo satria nya kek gini auto nungguin depan pintu,mau dong kalo satria nya kek gini auto nungguin depan pintu,"['mau', 'dong', 'kalo', 'satria', 'nya', 'kek', 'gini', 'auto', 'nungguin', 'depan', 'pintu']","mau,dong,kalo,satria,nya,kek,gin,auto,nungguin,depan,pintu","kalo,satria,nya,kek,gin,auto,nungguin,pintu","kalo,satria,auto,nungguin,pintu",netral,"['kalo', 'satria', 'auto', 'nungguin', 'pintu']","{'kalo': 1, 'satria': 1, 'auto': 1, 'nungguin': 1, 'pintu': 1}"
@anteraja_id hastag nya ademin tl min,hastag nya ademin tl min,hastag nya ademin tl min,"['hastag', 'nya', 'ademin', 'tl', 'min']","hastag,nya,ademin,tl,min","hastag,nya,ademin,tl,min","hastag,ademin",netral,"['hastag', 'ademin']","{'hastag': 1, 'ademin': 1}"
@anteraja_id @f10ves Buset buset 🫠,Buset buset,buset buset,"['buset', 'buset']","buset,buset","buset,buset","buset,buset",netral,"['buset', 'buset']",{'buset': 2}
@anteraja_id cantik,cantik,cantik,['cantik'],cantik,cantik,cantik,netral,['cantik'],{'cantik': 1}
"@anteraja_id Sering² aja min upload yg ada Flora nya, soal y dia jarang pap 😇",Sering aja min upload yg ada Flora nya soal dia jarang pap,sering aja min upload yg ada flora nya soal dia jarang pap,"['sering', 'aja', 'min', 'upload', 'yg', 'ada', 'flora', 'nya', 'soal', 'dia', 'jarang', 'pap']","sering,aja,min,upload,yg,ada,flora,nya,soal,dia,jarang,pap","aja,min,upload,yg,flora,nya,jarang,pap","upload,flora,jarang",netral,"['upload', 'flora', 'jarang']","{'upload': 1, 'flora': 1, 'jarang': 1}"
@anteraja_id Waini,Waini,waini,['waini'],waini,waini,waini,netral,['waini'],{'waini': 1}
"@anteraja_id @f10ves Tapi min, kok kemarin bukan mbak ini yg kirim paketnya.",Tapi min kok kemarin bukan mbak ini yg kirim paketnya,tapi min kok kemarin bukan mbak ini yg kirim paketnya,"['tapi', 'min', 'kok', 'kemarin', 'bukan', 'mbak', 'ini', 'yg', 'kirim', 'paketnya']","tapi,min,kok,kemarin,bukan,mbak,ini,yg,kirim,paket","min,kemarin,mbak,yg,kirim,paket","kemarin,mbak,kirim,paket",netral,"['kemarin', 'mbak', 'kirim', 'paket']","{'kemarin': 1, 'mbak': 1, 'kirim': 1, 'paket': 1}"
@anteraja_id adududuu,adududuu,adududuu,['adududuu'],adududuu,adududuu,adududuu,netral,['adududuu'],{'adududuu': 1}
@anteraja_id Free 2 shotnya kapan? 😔☝️,Free shotnya kapan,free shotnya kapan,"['free', 'shotnya', 'kapan']","free,shotnya,kapan","free,shotnya","free,shotnya",netral,"['free', 'shotnya']","{'free': 1, 'shotnya': 1}"
"@anteraja_id BAIKNYA RAMADAN #PastiBagiHadiah #BaiknyaRamadan
@Zaka_R17 @Zackersj @azackri",BAIKNYA RAMADAN PastiBagiHadiah BaiknyaRamadan,baiknya ramadan pastibagihadiah baiknyaramadan,"['baiknya', 'ramadan', 'pastibagihadiah', 'baiknyaramadan']","baik,ramadan,pastibagihadiah,baiknyaramadan","ramadan,pastibagihadiah,baiknyaramadan","ramadan,pastibagihadiah,baiknyaramadan",netral,"['ramadan', 'pastibagihadiah', 'baiknyaramadan']","{'ramadan': 1, 'pastibagihadiah': 1, 'baiknyaramadan': 1}"
@anteraja_id Waini!!!?,Waini,waini,['waini'],waini,waini,waini,netral,['waini'],{'waini': 1}
"@anteraja_id BAIKNYA RAMADAN #PastiBagiHadiah #BaiknyaRamadan 
@nabawisasi @andi_angler57 @woodeiy",BAIKNYA RAMADAN PastiBagiHadiah BaiknyaRamadan,baiknya ramadan pastibagihadiah baiknyaramadan,"['baiknya', 'ramadan', 'pastibagihadiah', 'baiknyaramadan']","baik,ramadan,pastibagihadiah,baiknyaramadan","ramadan,pastibagihadiah,baiknyaramadan","ramadan,pastibagihadiah,baiknyaramadan",netral,"['ramadan', 'pastibagihadiah', 'baiknyaramadan']","{'ramadan': 1, 'pastibagihadiah': 1, 'baiknyaramadan': 1}"
Halo @anteraja_id tlong cek resi sya 10006930707622 in dr kebumen k jkrt emank lewat bantul ya???? https://t.co/5Oj2g5LouH,Halo tlong cek resi sya in dr kebumen jkrt emank lewat bantul ya,halo tlong cek resi sya in dr kebumen jkrt emank lewat bantul ya,"['halo', 'tlong', 'cek', 'resi', 'sya', 'in', 'dr', 'kebumen', 'jkrt', 'emank', 'lewat', 'bantul', 'ya']","halo,tlong,cek,resi,sya,in,dr,kebumen,jkrt,emank,lewat,bantul,ya","halo,tlong,cek,resi,sya,in,dr,kebumen,jkrt,emank,bantul,ya","halo,tlong,resi,kebumen,jkrt,emank,bantul",negatif,"['halo', 'tlong', 'resi', 'kebumen', 'jkrt', 'emank', 'bantul']","{'halo': 1, 'tlong': 1, 'resi': 1, 'kebumen': 1, 'jkrt': 1, 'emank': 1, 'bantul': 1}"
@anteraja_id Makasih makasih makasih miaw ฅ⁠^⁠•⁠ﻌ⁠•⁠^⁠ฅ https://t.co/99onCbRyAU,Makasih makasih makasih miaw,makasih makasih makasih miaw,"['makasih', 'makasih', 'makasih', 'miaw']","makasih,makasih,makasih,miaw","makasih,makasih,makasih,miaw","makasih,makasih,makasih,miaw",positif,"['makasih', 'makasih', 'makasih', 'miaw']","{'makasih': 3, 'miaw': 1}"
"@anteraja_id aman min tenang aja, oshi saya ituu wkwkw",aman min tenang aja oshi saya ituu wkwkw,aman min tenang aja oshi saya ituu wkwkw,"['aman', 'min', 'tenang', 'aja', 'oshi', 'saya', 'ituu', 'wkwkw']","aman,min,tenang,aja,oshi,saya,ituu,wkwkw","aman,min,tenang,aja,oshi,ituu,wkwkw","aman,tenang,oshi,ituu,wkwkw",netral,"['aman', 'tenang', 'oshi', 'ituu', 'wkwkw']","{'aman': 1, 'tenang': 1, 'oshi': 1, 'ituu': 1, 'wkwkw': 1}"
Free wallpaper ✌️ https://t.co/JJz98ZDYJj,Free wallpaper,free wallpaper,"['free', 'wallpaper']","free,wallpaper","free,wallpaper","free,wallpaper",netral,"['free', 'wallpaper']","{'free': 1, 'wallpaper': 1}"
@anteraja_id Min udah di kirim ya DM nya,Min udah di kirim ya DM nya,min udah di kirim ya dm nya,"['min', 'udah', 'di', 'kirim', 'ya', 'dm', 'nya']","min,udah,di,kirim,ya,dm,nya","min,udah,kirim,ya,dm,nya","udah,kirim",netral,"['udah', 'kirim']","{'udah': 1, 'kirim': 1}"
"Cek postingan terakhir di Instagram kita, siapa tau itu Oshi-mu 🫶✌️",Cek postingan terakhir di Instagram kita siapa tau itu Oshimu,cek postingan terakhir di instagram kita siapa tau itu oshimu,"['cek', 'postingan', 'terakhir', 'di', 'instagram', 'kita', 'siapa', 'tau', 'itu', 'oshimu']","cek,postingan,akhir,di,instagram,kita,siapa,tau,itu,oshimu","cek,postingan,instagram,tau,oshimu","postingan,instagram,oshimu",netral,"['postingan', 'instagram', 'oshimu']","{'postingan': 1, 'instagram': 1, 'oshimu': 1}"
"@anteraja_id 
10006917928235 min ini ada notif paket akan direturn,ini bukan paket COD dan blm diantar kan",min ini ada notif paket akan direturnini bukan paket COD dan blm diantar kan,min ini ada notif paket akan direturnini bukan paket cod dan blm diantar kan,"['min', 'ini', 'ada', 'notif', 'paket', 'akan', 'direturnini', 'bukan', 'paket', 'cod', 'dan', 'blm', 'diantar', 'kan']","min,ini,ada,notif,paket,akan,direturnini,bukan,paket,cod,dan,blm,antar,kan","min,notif,paket,direturnini,paket,cod,blm","notif,paket,direturnini,paket",netral,"['notif', 'paket', 'direturnini', 'paket']","{'notif': 1, 'paket': 2, 'direturnini': 1}"
lemot banget plis @anteraja_id https://t.co/zN74imEXUB,lemot banget plis,lemot banget plis,"['lemot', 'banget', 'plis']","lot,banget,plis","lot,banget,plis","banget,plis",negatif,"['banget', 'plis']","{'banget': 1, 'plis': 1}"
@anteraja_id Ekspedisi ini kalau order Sameday biasanya jadi entah kapan day!!,Ekspedisi ini kalau order Sameday biasanya jadi entah kapan day,ekspedisi ini kalau order sameday biasanya jadi entah kapan day,"['ekspedisi', 'ini', 'kalau', 'order', 'sameday', 'biasanya', 'jadi', 'entah', 'kapan', 'day']","ekspedisi,ini,kalau,order,sameday,biasa,jadi,entah,kapan,day","ekspedisi,order,sameday,day","ekspedisi,order,sameday",negatif,"['ekspedisi', 'order', 'sameday']","{'ekspedisi': 1, 'order': 1, 'sameday': 1}"
"@anteraja_id hallo min, tlng baca dm ya",hallo min tlng baca dm ya,hallo min tlng baca dm ya,"['hallo', 'min', 'tlng', 'baca', 'dm', 'ya']","hallo,min,tlng,baca,dm,ya","hallo,min,tlng,baca,dm,ya","hallo,tlng,baca",negatif,"['hallo', 'tlng', 'baca']","{'hallo': 1, 'tlng': 1, 'baca': 1}"
"Min @anteraja_id @AnterajaCare , pengiriman pake Next Day, kenapa udah hari ke-3 belom sampe2? Ada kompensasinya ngga nih? Bayar NextDay dapetnya Reguler :(",Min pengiriman pake Next Day kenapa udah hari ke belom sampe Ada kompensasinya ngga nih Bayar NextDay dapetnya Reguler,min pengiriman pake next day kenapa udah hari ke belom sampe ada kompensasinya ngga nih bayar nextday dapetnya reguler,"['min', 'pengiriman', 'pake', 'next', 'day', 'kenapa', 'udah', 'hari', 'ke', 'belom', 'sampe', 'ada', 'kompensasinya', 'ngga', 'nih', 'bayar', 'nextday', 'dapetnya', 'reguler']","min,kirim,pake,next,day,kenapa,udah,hari,ke,bom,sampe,ada,kompensasi,ngga,nih,bayar,nextday,dapetnya,reguler","min,kirim,pake,next,day,udah,bom,sampe,kompensasi,ngga,nih,bayar,nextday,dapetnya,reguler","kirim,pake,next,udah,sampe,kompensasi,ngga,bayar,nextday,dapetnya,reguler",negatif,"['kirim', 'pake', 'next', 'udah', 'sampe', 'kompensasi', 'ngga', 'bayar', 'nextday', 'dapetnya', 'reguler']","{'kirim': 1, 'pake': 1, 'next': 1, 'udah': 1, 'sampe': 1, 'kompensasi': 1, 'ngga': 1, 'bayar': 1, 'nextday': 1, 'dapetnya': 1, 'reguler': 1}"
Paket uda 2 hari gak bergerak.. lagi puasa di pusat sortir ya @anteraja_id please deh.. gini nih kalo lupa klik ganti penganteran kalo belanja OL,Paket uda hari gak bergerak lagi puasa di pusat sortir ya please deh gini nih kalo lupa klik ganti penganteran kalo belanja OL,paket uda hari gak bergerak lagi puasa di pusat sortir ya please deh gini nih kalo lupa klik ganti penganteran kalo belanja ol,"['paket', 'uda', 'hari', 'gak', 'bergerak', 'lagi', 'puasa', 'di', 'pusat', 'sortir', 'ya', 'please', 'deh', 'gini', 'nih', 'kalo', 'lupa', 'klik', 'ganti', 'penganteran', 'kalo', 'belanja', 'ol']","paket,uda,hari,gak,gerak,lagi,puasa,di,pusat,sortir,ya,please,deh,gin,nih,kalo,lupa,klik,ganti,anter,kalo,belanja,ol","paket,uda,gak,gerak,puasa,pusat,sortir,ya,please,deh,gin,nih,kalo,lupa,klik,ganti,anter,kalo,belanja,ol","paket,gerak,puasa,pusat,sortir,please,kalo,lupa,klik,ganti,anter,kalo,belanja",negatif,"['paket', 'gerak', 'puasa', 'pusat', 'sortir', 'please', 'kalo', 'lupa', 'klik', 'ganti', 'anter', 'kalo', 'belanja']","{'paket': 1, 'gerak': 1, 'puasa': 1, 'pusat': 1, 'sortir': 1, 'please': 1, 'kalo': 2, 'lupa': 1, 'klik': 1, 'ganti': 1, 'anter': 1, 'belanja': 1}"
"@anteraja_id dan @AnterajaCare tidak menanggapi proses refund ongkos kirim saya padahal sudah menyalahi twrm of service nya sendiri yang sampai pada tujuan maximum 10 jam, tapi sampai di keesokan harinya 
@anteraja_id bagaimana proses refund ongkir saya? kan kalian yg wanprestasi",dan tidak menanggapi proses refund ongkos kirim saya padahal sudah menyalahi twrm of service nya sendiri yang sampai pada tujuan maximum jam tapi sampai di keesokan harinya bagaimana proses refund ongkir saya kan kalian yg wanprestasi,dan tidak menanggapi proses refund ongkos kirim saya padahal sudah menyalahi twrm of service nya sendiri yang sampai pada tujuan maximum jam tapi sampai di keesokan harinya bagaimana proses refund ongkir saya kan kalian yg wanprestasi,"['dan', 'tidak', 'menanggapi', 'proses', 'refund', 'ongkos', 'kirim', 'saya', 'padahal', 'sudah', 'menyalahi', 'twrm', 'of', 'service', 'nya', 'sendiri', 'yang', 'sampai', 'pada', 'tujuan', 'maximum', 'jam', 'tapi', 'sampai', 'di', 'keesokan', 'harinya', 'bagaimana', 'proses', 'refund', 'ongkir', 'saya', 'kan', 'kalian', 'yg', 'wanprestasi']","dan,tidak,tanggap,proses,refund,ongkos,kirim,saya,padahal,sudah,salah,twrm,of,service,nya,sendiri,yang,sampai,pada,tuju,maximum,jam,tapi,sampai,di,esok,hari,bagaimana,proses,refund,ongkir,saya,kan,kalian,yg,wanprestasi","tanggap,proses,refund,ongkos,kirim,salah,twrm,of,service,nya,tuju,maximum,jam,esok,proses,refund,ongkir,yg,wanprestasi","tanggap,proses,refund,ongkos,kirim,salah,twrm,service,tuju,maximum,esok,proses,refund,ongkir,wanprestasi",negatif,"['tanggap', 'proses', 'refund', 'ongkos', 'kirim', 'salah', 'twrm', 'service', 'tuju', 'maximum', 'esok', 'proses', 'refund', 'ongkir', 'wanprestasi']","{'tanggap': 1, 'proses': 2, 'refund': 2, 'ongkos': 1, 'kirim': 1, 'salah': 1, 'twrm': 1, 'service': 1, 'tuju': 1, 'maximum': 1, 'esok': 1, 'ongkir': 1, 'wanprestasi': 1}"
"@A_ZeeJKT48 silahkan, mau ngirim paket ya? 😙",silahkan mau ngirim paket ya,silahkan mau ngirim paket ya,"['silahkan', 'mau', 'ngirim', 'paket', 'ya']","silah,mau,ngirim,paket,ya","silah,ngirim,paket,ya","silah,ngirim,paket",netral,"['silah', 'ngirim', 'paket']","{'silah': 1, 'ngirim': 1, 'paket': 1}"
@anteraja_id @piscvely @F_Astri17 @Mom_ofmoon Congrats semuanya,Congrats semuanya,congrats semuanya,"['congrats', 'semuanya']","congrats,semua",congrats,congrats,netral,['congrats'],{'congrats': 1}
@anteraja_id @piscvely @Mom_ofmoon Terimakasih Mimin baik 🙏,Terimakasih Mimin baik,terimakasih mimin baik,"['terimakasih', 'mimin', 'baik']","terimakasih,mimin,baik","terimakasih,mimin","terimakasih,mimin",positif,"['terimakasih', 'mimin']","{'terimakasih': 1, 'mimin': 1}"
Yeayyy thankyouu @anteraja_id 🥰,Yeayyy thankyouu,yeayyy thankyouu,"['yeayyy', 'thankyouu']","yeayyy,thankyouu","yeayyy,thankyouu","yeayyy,thankyouu",positif,"['yeayyy', 'thankyouu']","{'yeayyy': 1, 'thankyouu': 1}"
"GIVEAWAY CLOSED🥳✨

𝒮𝑒𝓁𝒶𝓂𝒶𝓉 𝓊𝓃𝓉𝓊𝓀: 
@piscvely 
@F_Astri17 
@Mom_ofmoon 

Pemenang akan mendapatkan e-wallet masing-masing 100ribu!💗 Mohon tunggu DM dariku gesss~😉",GIVEAWAY CLOSED Pemenang akan mendapatkan ewallet masingmasing ribu Mohon tunggu DM dariku gesss,giveaway closed pemenang akan mendapatkan ewallet masingmasing ribu mohon tunggu dm dariku gesss,"['giveaway', 'closed', 'pemenang', 'akan', 'mendapatkan', 'ewallet', 'masingmasing', 'ribu', 'mohon', 'tunggu', 'dm', 'dariku', 'gesss']","giveaway,closed,menang,akan,dapat,ewallet,masingmasing,ribu,mohon,tunggu,dm,dari,gesss","giveaway,closed,menang,ewallet,masingmasing,ribu,mohon,tunggu,dm,gesss","giveaway,closed,menang,ewallet,masingmasing,ribu,mohon,tunggu,gesss",netral,"['giveaway', 'closed', 'menang', 'ewallet', 'masingmasing', 'ribu', 'mohon', 'tunggu', 'gesss']","{'giveaway': 1, 'closed': 1, 'menang': 1, 'ewallet': 1, 'masingmasing': 1, 'ribu': 1, 'mohon': 1, 'tunggu': 1, 'gesss': 1}"
"@anteraja_id BAIKNYA RAMADAN #PastiBagiHadiah #BaiknyaRamadan 

@piscvely @Zaka_R17 @Annajmussaaqib",BAIKNYA RAMADAN PastiBagiHadiah BaiknyaRamadan,baiknya ramadan pastibagihadiah baiknyaramadan,"['baiknya', 'ramadan', 'pastibagihadiah', 'baiknyaramadan']","baik,ramadan,pastibagihadiah,baiknyaramadan","ramadan,pastibagihadiah,baiknyaramadan","ramadan,pastibagihadiah,baiknyaramadan",netral,"['ramadan', 'pastibagihadiah', 'baiknyaramadan']","{'ramadan': 1, 'pastibagihadiah': 1, 'baiknyaramadan': 1}"
"@anteraja_id Baiknya Ramadan 
@esteebuu @march_ali  @agilriego 
#PastiBagiHadiah #BaiknyaRamadan",Baiknya Ramadan PastiBagiHadiah BaiknyaRamadan,baiknya ramadan pastibagihadiah baiknyaramadan,"['baiknya', 'ramadan', 'pastibagihadiah', 'baiknyaramadan']","baik,ramadan,pastibagihadiah,baiknyaramadan","ramadan,pastibagihadiah,baiknyaramadan","ramadan,pastibagihadiah,baiknyaramadan",netral,"['ramadan', 'pastibagihadiah', 'baiknyaramadan']","{'ramadan': 1, 'pastibagihadiah': 1, 'baiknyaramadan': 1}"
@C_OnielJKT48 @anteraja_id Kenapa Tweet ini tidak masuk ke notif 😔,Kenapa Tweet ini tidak masuk ke notif,kenapa tweet ini tidak masuk ke notif,"['kenapa', 'tweet', 'ini', 'tidak', 'masuk', 'ke', 'notif']","kenapa,tweet,ini,tidak,masuk,ke,notif","tweet,masuk,notif","tweet,masuk,notif",netral,"['tweet', 'masuk', 'notif']","{'tweet': 1, 'masuk': 1, 'notif': 1}"
"Paket sudah sampai lokasi sortir di Kediri dari tgl 26 Maret 2023 tapi belum ada update apapun sampai hari ini, kelanjutannya gimana ini??
@anteraja_id
@AnterajaCare 
👎👎👎 https://t.co/9WLDjZHOLB",Paket sudah sampai lokasi sortir di Kediri dari tgl Maret tapi belum ada update apapun sampai hari ini kelanjutannya gimana ini,paket sudah sampai lokasi sortir di kediri dari tgl maret tapi belum ada update apapun sampai hari ini kelanjutannya gimana ini,"['paket', 'sudah', 'sampai', 'lokasi', 'sortir', 'di', 'kediri', 'dari', 'tgl', 'maret', 'tapi', 'belum', 'ada', 'update', 'apapun', 'sampai', 'hari', 'ini', 'kelanjutannya', 'gimana', 'ini']","paket,sudah,sampai,lokasi,sortir,di,diri,dari,tgl,maret,tapi,belum,ada,update,apa,sampai,hari,ini,lanjut,gimana,ini","paket,lokasi,sortir,tgl,maret,update,gimana","paket,lokasi,sortir,maret,update,gimana",negatif,"['paket', 'lokasi', 'sortir', 'maret', 'update', 'gimana']","{'paket': 1, 'lokasi': 1, 'sortir': 1, 'maret': 1, 'update': 1, 'gimana': 1}"
